Tanggal,Rata-rata Harga
2024/01/19,Rp 14.683
2024/01/20,Rp 14.683
2024/01/21,Rp 14.683
2024/01/22,Rp 14.717
2024/01/23,Rp 14.729
2024/01/24,Rp 14.717
2024/01/25,Rp 14.725
2024/01/26,Rp 14.725
2024/01/27,Rp 14.725
2024/01/28,Rp 14.725
2024/01/29,Rp 14.792
2024/01/30,Rp 14.829
2024/01/31,Rp 14.858
2024/02/01,Rp 14.875
2024/02/02,Rp 14.933
2024/02/03,Rp 16.241
2024/02/04,Rp 16.241
2024/02/05,Rp 16.309
2024/02/06,Rp 16.318
2024/02/07,Rp 16.327
2024/02/08,Rp 16.041
2024/02/09,Rp 16.305
2024/02/10,Rp 16.305
2024/02/11,Rp 16.305
2024/02/12,Rp 16.145
2024/02/13,Rp 16.241
2024/02/14,Rp 16.459
2024/02/15,Rp 15.955
2024/02/16,Rp 15.968
2024/02/17,Rp 15.968
2024/02/18,Rp 15.968
2024/02/19,Rp 16.009
2024/02/20,Rp 16.141
2024/02/21,Rp 16.155
2024/02/22,Rp 16.218
2024/02/23,Rp 16.227
2024/02/24,Rp 16.227
2024/02/26,Rp 16.982
2024/02/27,Rp 17.086
2024/02/28,Rp 17.136
2024/02/29,Rp 17.173
2024/03/01,Rp 17.195
2024/03/02,Rp 17.195
2024/03/03,Rp 17.195
2024/03/04,Rp 17.268
2024/03/05,Rp 17.305
2024/03/06,Rp 17.318
2024/03/07,Rp 17.273
2024/03/08,Rp 17.273
2024/03/09,Rp 17.273
2024/03/10,Rp 17.273
2024/03/11,Rp 17.273
2024/03/12,Rp 17.273
2024/03/13,Rp 17.327
2024/03/14,Rp 17.314
2024/03/15,Rp 17.327
2024/03/16,Rp 17.327
2024/03/17,Rp 17.327
2024/03/18,Rp 17.336
2024/03/19,Rp 17.345
2024/03/20,Rp 17.345
2024/03/21,Rp 17.264
2024/03/22,Rp 17.332
2024/03/23,Rp 17.332
2024/03/24,Rp 17.332
